Date	Time	Severity	PID	TID	Function	Message
04-10-2025	11:07:28.035	 INFO	 14428	  9268	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
04-10-2025	11:07:28.036	 INFO	 14428	 66120	LateInitialization	"Intialization..."
04-10-2025	11:07:28.036	 INFO	 14428	 66120	LateInitialization	"Exe = C:\portapps\Git.for.Windows.2.47.0.x64.Portable\PortableGit\usr\bin\sh.exe"
04-10-2025	11:07:28.036	 INFO	 14428	 66120	LateInitialization	"IsExplorer = 0"
04-10-2025	11:07:28.037	 INFO	 14428	 66120	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
04-10-2025	11:07:28.037	 INFO	 14428	 66120	LateInitialization	"Intialization finished"
04-10-2025	11:07:29.135	 INFO	 36300	 73520	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
04-10-2025	11:07:29.136	 INFO	 36300	 50476	LateInitialization	"Intialization..."
04-10-2025	11:07:29.136	 INFO	 36300	 50476	LateInitialization	"Exe = C:\portapps\Git.for.Windows.2.47.0.x64.Portable\PortableGit\usr\bin\sh.exe"
04-10-2025	11:07:29.137	 INFO	 36300	 50476	LateInitialization	"IsExplorer = 0"
04-10-2025	11:07:29.137	 INFO	 36300	 50476	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
04-10-2025	11:07:29.138	 INFO	 36300	 50476	LateInitialization	"Intialization finished"
04-10-2025	11:08:57.649	 INFO	  4196	  1372	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
04-10-2025	11:08:57.649	 INFO	  4196	 15364	LateInitialization	"Intialization..."
04-10-2025	11:08:57.650	 INFO	  4196	 15364	LateInitialization	"Exe = C:\portapps\Git.for.Windows.2.47.0.x64.Portable\PortableGit\usr\bin\sh.exe"
04-10-2025	11:08:57.650	 INFO	  4196	 15364	LateInitialization	"IsExplorer = 0"
04-10-2025	11:08:57.650	 INFO	  4196	 15364	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
04-10-2025	11:08:57.651	 INFO	  4196	 15364	LateInitialization	"Intialization finished"
04-10-2025	11:08:58.750	 INFO	 42844	 18108	DllMain	"DLL_PROCESS_ATTACH Tue Dec 17 02:00:58 2024 11.3.2428.28"
04-10-2025	11:08:58.751	 INFO	 42844	 16824	LateInitialization	"Intialization..."
04-10-2025	11:08:58.751	 INFO	 42844	 16824	LateInitialization	"Exe = C:\portapps\Git.for.Windows.2.47.0.x64.Portable\PortableGit\usr\bin\sh.exe"
04-10-2025	11:08:58.751	 INFO	 42844	 16824	LateInitialization	"IsExplorer = 0"
04-10-2025	11:08:58.752	 INFO	 42844	 16824	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
04-10-2025	11:08:58.752	 INFO	 42844	 16824	LateInitialization	"Intialization finished"
